Question_Title,Subject_Name,Group_Name,Answer_1,Answer_2,Answer_3,Answer_4,Answer_5,Answer_6,Correct_Answer
In which type of turbine does a pressure drop exist through the fixed blades and the moving blades?,MEP,B,Impulse,Reaction,Rateau,Curtis,,,2
The purpose of the boiler bottom blow valve is to __________.,MEP,B,remove scum from the steam drum during steaming,control steam drum water level in an emergency,remove heavy solids from the water drum,all of the above,,,3
Which of the conditions listed would cause the stern tube lube oil head tank level to decrease?,MEP,B,An increase in sea water temperature.,The entry of sea water into the system.,The proper closure of a drain valve.,A worn or damaged stern tube seal.,,,4
"The distilled water tank has been determined to be 75% full. The tank connection to the pneumericator has been disconnected for a maintenance check.  If the pneumericator operates correctly, the gage should indicate __________.",MEP,B,a value equal to three fourths of the  actual level,a false high reading possibly permitting the entry of air into the system,the minimum value display along the provided scales,the absence of mercury in the system,,,3
"During an inport watch onboard a tank vessel while cargo operations are in progress, with the jacking gear engaged and running, you notice a 200 gallon drop in the reduction  gear lube oil sump level.  Which components or conditions should be checked immediately?",MEP,B,Inspect proper line-up of lube oil service pumps.,Confirm with deck officer that there was a change in vessel trim.,Verify the correct line-up of the lube oil transfer tank gravity overflow line.,All of the above are correct.,,,2
"A steam propelled tank ship is operating at sea and despite troubleshooting the system by all the vessel's engineers, the transfer of fuel to the settler has not been possible and the settler will be empty in a few minutes.  As the watch engineer, your NEXT step should be to __________.",MEP,B,repeat all the steps that have been taken to determine the cause of the problem,call out other engineers for assistance,line up the diesel cold start system,stop the main engine and secure the generator,,,3
In which order should the chemical test analysis of boiler  flue gas samples be made?,MEP,B,"CO2, O2, CO","CO, CO2, O2","O2, CO, CO2","CO, O2, CO2",,,1
Which steam plant watch operating condition will require priority attention over the other situations listed?,MEP,B,Low level of lube oil in cleansing tank,High level of lube oil in storage tank,Low level effluent in chlorination section of sewage tank,High water level in main propulsion boiler,,,4
Foaming in a boiler can be caused by __________.,MEP,B,high total solids,high alkalinity,excessive phosphate,all of the above,,,4
What steps should be taken if excessive steaming and vigorous bubbling occurs in the first section of the drain  inspection tank?,MEP,B,Secure the fuel oil heater currently in use.,Locate and open any unnecessarily closed steam trap bypass  valves.,Systematically locate and isolate any faulty traps in the contaminated steam system piping.,All of the above are correct and should be performed in the order as shown.,,,3
Which steam plant watch operating condition requires priority attention over the other conditions listed?,MEP,B,High level main condenser,High lube oil storage tank level,Low sewage tank chlorination section level,Vapor issuing from deaerating heater vent,,,1
The guarding valve installed in a boiler bottom blow line prevents __________.,MEP,B,loss of steam and water from a steaming boiler due to a leaking bottom blow valve,leakage from the blow line back to an idle boiler,entry of seawater into idle boilers due to leaking skin and bottom blow valves,all of the above,,,4
Which steam plant watch operating conditions requires priority attention over the other situations listed?,MEP,B,High level of lube oil in the refrigeration compressor,High water level in the deareating feedwater heater,Low level effluent in chlorination section of sewage tank,High level water in the fuel oil sludge tank,,,2
The steam soot blower piping should be thoroughly drained before operating to prevent __________.,MEP,B,impinging of generating tube surfaces,feedwater losses,plugging of nozzles,warping of soot blower elements,,,1
A salinity indicator cell is located in the __________.,MEP,B,seawater side of the main condenser,main condenser hotwell,evaporator brine suction line,low pressure turbine casing drain,,,2
A closed feedwater system when compared to an open feedweater system has the advantage(s) of __________.; ;  I. being capable of removing a greater percentage  of dissolved oxygen; II. having fewer components to maintain,MEP,B,I only,II only,Both I and II,Neither I nor II,,,1
A mechanical carbon dioxide recorder operates by detecting  the difference between air and the __________.,MEP,B,color of boiler flue gases,temperature of the flue gases,soot content of the flue gases,specific weight of the flue gases,,,4
Which of the following procedures represents the proper care of unused burners during low load conditions?,MEP,B,"They should be removed, cleaned, refitted with smaller tips and reinstalled to be ready for immediate use.","They should be removed, cleaned and stored in the rack on the burner bench.","They may be left in place, with fuel and steam secured as long as they are not fouled.","They may be left in place, but only if they are clean and if fuel oil is recirculated to provide cooling.",,,2
"For a gravity type lube oil system, a remote pressure sensing device is installed at the point of highest static head pressure on the main unit to enable the watch engineer to __________.; ;  I. be certain that the bearings are being adequately lubricated; II. determine if there is sufficient lube oil pressure to the main engine",MEP,B,I only,II only,Both I and II,Neither I nor II,,,2
Superheated steam is provided to operate the main steam turbine instead of saturated steam due to its __________.; ;  I. higher thermal energy per pound ; II. lesser erosive action on turbine blading,MEP,B,I only,II only,Both I and II,Neither I nor II,,,3
"Operating a steam turbine propulsion unit at moderate speed, in an area with extremely cold seawater, and the main circulating pump providing full cooling water flow to the condenser will result in __________.",MEP,B,excellent plant efficiency due to higher attainable vacuum,increased plant efficiency due to increased condensate  depression,increased effectiveness of the air ejectors due to the increased main condenser vacuum,reduced plant efficiency due to the inability of the air ejectors to remove excessive air accumulation from the condenser,,,4
