Question_Title,Subject_Name,Group_Name,Answer_1,Answer_2,Answer_3,Answer_4,Answer_5,Answer_6,Correct_Answer
"When used with reversing reduction gears, medium-speed diesel engines should be bolted to their foundations with fitted bolts at the drive end and clearance (loosely fitted) bolts in other locations. This is done to __________.",Motor,B,maintain alignment when the ship's hull is working in heavy seas,ensure engine vibrations correspond to the natural frequency of the hull,permit the engine to expand away from the driven equipment  as the engine heats up and expands,maintain engine thrust bearing clearances,,,3
The piston wrist pin used in some diesel engine pistons is  prevented from contacting the cylinder wall by a __________.,Motor,B,piston relief groove,piston pin cup,snap ring,bronze bushing,,,3
"In a diesel engine mechanical-type fuel pump, the delivery  check valve is opened by __________.",Motor,B,push rod action,cam action,hydraulic action,spring action,,,3
What is the term given to the process of breaking up fuel oil into very fine particles for better combustion?,Motor,B,Settling,Straining,Spraying,Atomizing,,,4
The most severe cavitation erosion occurring on the waterside of diesel engine wet cylinder liners normally occurs __________.,Motor,B,throughout the lower one-half of the liner,throughout the upper one-half of the liner,at TDC opposite the thrust side of the liner,near the middle of the thrust side of the liner,,,4
"For a given fuel, a change in the compression ratio will affect the ignition lag by which of the listed means?",Motor,B,An increase in compression ratio will increase the ignition lag.,An increase in compression ratio will decrease the ignition lag.,A decrease in compression ratio will decrease the ignition  lag.,A decrease in ignition lag will increase the compression ratio.,,,2
Turbulence in a diesel engine cylinder is of major  importance in providing __________.,Motor,B,proper fuel metering,complete fuel/air mixing,minimal fuel penetration,proper fuel timing,,,2
The required amount in the change of speed necessary before a governor will make a corrective movement is known as __________.,Motor,B,speed droop,sensitivity,stability,promptness,,,2
Which of the following problems may occur if the opening pressure of a fuel injection nozzle is greater than specified by the engine manufacturer?,Motor,B,The amount of fuel injected will be increased.,The start of injection will be retarded.,The nozzle will permit fuel to dribble.,The spray pattern will be distorted.,,,2
"In a full floating wristpin, the pin is prevented from sliding against the cylinder walls by __________.",Motor,B,snap rings,seal welding,a press fitting,a tongue-and-groove,,,1
"Exhaust valve grooving and corrosion is caused by certain components of residual fuel oil.  These components are sodium, sulfur, and __________.",Motor,B,vanadium,carbon,copper,ash,,,1
