Question_Title,Subject_Name,Group_Name,Answer_1,Answer_2,Answer_3,Answer_4,Answer_5,Answer_6,Correct_Answer
"Subsequent to a oil spill in Engine Room and ingress of oil in the bilge wells ,the best course of action is to _______________________________",General,A,Use oil spill dispersant chemical in the bilge wells,Transfer the oily mixture and let it settle in the bilge holding tank/bilge separator tank,Transfer the oily mixture using a portable pneumatic pump to a waste oil tank and then physically demark and clean the bilge wells using environment friendly cleaner,Dilute the bilge wells by flooding with water and then use the general service pump to pump out the bilges,,,3
"In case of an exhaust gas boiler fire ,which of the following is a suitable control measure?",General,A,Start frequent soot blowing,Increase main engine speed to blow away the soot particles on fire,Stop cooling water circulation to avoid leakage,None of the above,,,4
What type of tubes used in Air comp cooler?,General,A,Spring type,floating,U type,fixed type,,,3
The water from discharge side of the centrifugal pump is supplied as sealing water to the stuffing box for the pump shaft at:,General,A,Sealing ring,Shaft sleeve,Lantern ring,Neck bush,,,3
Which of the following would be the correct way(s) of using a torque wrench?,General,A,Application of jerk pulls while tightening,Using an extension,Tightening beyond the characteristic clicking sound,None of the above,,,4
Chromium is a nobler metal when compared to that of steel. In some marine applications Chromium is electroplated to the steel surfaces. Why?,General,A,Chromium is a more noble metal so it will not get corroded and thus steel surfaces will remain protected,Chromium plating provides corrosion protection as well as high glossiness and high hardness for better wear resistance and reduced friction to the steel surfaces,Chromium plating is required for providing high glossiness and high hardness for better wear resistance and reduced friction to the steel surfaces and not for corrosion protection,Chromium reacts with steel to form an alloy during electroplating which is corrosion resistant,,,2
Centrifugal pumps cannot handle air and require priming. But you are aware that centrifugal which on the same principal can handle air very well. Which two properties of air are responsible because of which the centrifugal pumps cannot handle air:-,General,A,Fluidity only,Density only,Both fluidity and density,Compressibility,,,3
Pump driven clutch type attached vacuum pumps are commonly used for priming ballast pumps and emergency fire pumps. What is the factor which clutches the vacuum pump clutch to the pump clutch during start of the pump?,General,A,Low suction pressure acting against the spring loaded clutching piston,High suction pressure acting against the spring loaded clutching piston,Low discharge pressure acting against the spring loaded clutching piston,High discharge pressure acting against the spring loaded clutching piston,,,3
"It is given that engine room bilge pump has suction manifold on which 3 valves are located. One valve for the 3 engine room bilge wells suction, another one for Bilge tank suction and the third one is for sea water suction. It is found that the Bilge pump is unable to take suction from any of the bilge wells, but is able to take suction efficiently from Bilge tank. What is the most probable cause?",General,A,Pump suction filter cover gasket leaking,Suction filter cover gasket of one of the Bilge wells is leaking,Bilge well suction pipeline leaking between individual bilge well valves and suction manifold valve,Bilge pump suction pipeline leaking between the manifold and the pump,,,3
It has been reported that Engine room bilge pump was unable to take suction from Fwd. (P) bilge well while it taking suction efficiently from Fwd.(S) & aft bilge wells. What could be the most probable cause?,General,A,There is leakage in the bilge suction pipeline somewhere between the bilge wells and bilge pump,The Fwd. (P) bilge well suction valve might be leaking,The Fwd. (P) bilge well suction filter cover gasket might be leaking,The pump needs to be overhauled,,,3
